date_key,full_date,year,month,day
17000101,1700-01-01,1700,1,1
17000102,1700-01-02,1700,1,2
17000103,1700-01-03,1700,1,3
17000104,1700-01-04,1700,1,4
17000105,1700-01-05,1700,1,5
17000106,1700-01-06,1700,1,6
17000107,1700-01-07,1700,1,7
17000108,1700-01-08,1700,1,8
17000109,1700-01-09,1700,1,9
17000110,1700-01-10,1700,1,10
17000111,1700-01-11,1700,1,11
17000112,1700-01-12,1700,1,12
17000113,1700-01-13,1700,1,13
17000114,1700-01-14,1700,1,14
17000115,1700-01-15,1700,1,15
17000116,1700-01-16,1700,1,16
17000117,1700-01-17,1700,1,17
17000118,1700-01-18,1700,1,18
17000119,1700-01-19,1700,1,19
17000120,1700-01-20,1700,1,20
17000121,1700-01-21,1700,1,21
17000122,1700-01-22,1700,1,22
17000123,1700-01-23,1700,1,23
17000124,1700-01-24,1700,1,24
17000125,1700-01-25,1700,1,25
17000126,1700-01-26,1700,1,26
17000127,1700-01-27,1700,1,27
17000128,1700-01-28,1700,1,28
17000129,1700-01-29,1700,1,29
17000130,1700-01-30,1700,1,30
17000131,1700-01-31,1700,1,31
17000201,1700-02-01,1700,2,1
17000202,1700-02-02,1700,2,2
17000203,1700-02-03,1700,2,3
17000204,1700-02-04,1700,2,4
17000205,1700-02-05,1700,2,5
17000206,1700-02-06,1700,2,6
17000207,1700-02-07,1700,2,7
17000208,1700-02-08,1700,2,8
17000209,1700-02-09,1700,2,9
17000210,1700-02-10,1700,2,10
17000211,1700-02-11,1700,2,11
17000212,1700-02-12,1700,2,12
17000213,1700-02-13,1700,2,13
17000214,1700-02-14,1700,2,14
17000215,1700-02-15,1700,2,15
17000216,1700-02-16,1700,2,16
17000217,1700-02-17,1700,2,17
17000218,1700-02-18,1700,2,18
17000219,1700-02-19,1700,2,19
17000220,1700-02-20,1700,2,20
17000221,1700-02-21,1700,2,21
17000222,1700-02-22,1700,2,22
17000223,1700-02-23,1700,2,23
17000224,1700-02-24,1700,2,24
17000225,1700-02-25,1700,2,25
17000226,1700-02-26,1700,2,26
17000227,1700-02-27,1700,2,27
17000228,1700-02-28,1700,2,28
17000301,1700-03-01,1700,3,1
17000302,1700-03-02,1700,3,2
17000303,1700-03-03,1700,3,3
17000304,1700-03-04,1700,3,4
17000305,1700-03-05,1700,3,5
17000306,1700-03-06,1700,3,6
17000307,1700-03-07,1700,3,7
17000308,1700-03-08,1700,3,8
17000309,1700-03-09,1700,3,9
17000310,1700-03-10,1700,3,10
17000311,1700-03-11,1700,3,11
17000312,1700-03-12,1700,3,12
17000313,1700-03-13,1700,3,13
17000314,1700-03-14,1700,3,14
17000315,1700-03-15,1700,3,15
17000316,1700-03-16,1700,3,16
17000317,1700-03-17,1700,3,17
17000318,1700-03-18,1700,3,18
17000319,1700-03-19,1700,3,19
17000320,1700-03-20,1700,3,20
17000321,1700-03-21,1700,3,21
17000322,1700-03-22,1700,3,22
17000323,1700-03-23,1700,3,23
17000324,1700-03-24,1700,3,24
17000325,1700-03-25,1700,3,25
17000326,1700-03-26,1700,3,26
17000327,1700-03-27,1700,3,27
17000328,1700-03-28,1700,3,28
17000329,1700-03-29,1700,3,29
17000330,1700-03-30,1700,3,30
17000331,1700-03-31,1700,3,31
17000401,1700-04-01,1700,4,1
17000402,1700-04-02,1700,4,2
17000403,1700-04-03,1700,4,3
17000404,1700-04-04,1700,4,4
17000405,1700-04-05,1700,4,5
17000406,1700-04-06,1700,4,6
17000407,1700-04-07,1700,4,7
17000408,1700-04-08,1700,4,8
17000409,1700-04-09,1700,4,9
17000410,1700-04-10,1700,4,10
17000411,1700-04-11,1700,4,11
17000412,1700-04-12,1700,4,12
17000413,1700-04-13,1700,4,13
17000414,1700-04-14,1700,4,14
17000415,1700-04-15,1700,4,15
17000416,1700-04-16,1700,4,16
17000417,1700-04-17,1700,4,17
17000418,1700-04-18,1700,4,18
17000419,1700-04-19,1700,4,19
17000420,1700-04-20,1700,4,20
17000421,1700-04-21,1700,4,21
17000422,1700-04-22,1700,4,22
17000423,1700-04-23,1700,4,23
17000424,1700-04-24,1700,4,24
17000425,1700-04-25,1700,4,25
17000426,1700-04-26,1700,4,26
17000427,1700-04-27,1700,4,27
17000428,1700-04-28,1700,4,28
17000429,1700-04-29,1700,4,29
17000430,1700-04-30,1700,4,30
17000501,1700-05-01,1700,5,1
17000502,1700-05-02,1700,5,2
17000503,1700-05-03,1700,5,3
17000504,1700-05-04,1700,5,4
17000505,1700-05-05,1700,5,5
17000506,1700-05-06,1700,5,6
17000507,1700-05-07,1700,5,7
17000508,1700-05-08,1700,5,8
17000509,1700-05-09,1700,5,9
17000510,1700-05-10,1700,5,10
17000511,1700-05-11,1700,5,11
17000512,1700-05-12,1700,5,12
17000513,1700-05-13,1700,5,13
17000514,1700-05-14,1700,5,14
17000515,1700-05-15,1700,5,15
17000516,1700-05-16,1700,5,16
17000517,1700-05-17,1700,5,17
17000518,1700-05-18,1700,5,18
17000519,1700-05-19,1700,5,19
17000520,1700-05-20,1700,5,20
17000521,1700-05-21,1700,5,21
17000522,1700-05-22,1700,5,22
17000523,1700-05-23,1700,5,23
17000524,1700-05-24,1700,5,24
17000525,1700-05-25,1700,5,25
17000526,1700-05-26,1700,5,26
17000527,1700-05-27,1700,5,27
17000528,1700-05-28,1700,5,28
17000529,1700-05-29,1700,5,29
17000530,1700-05-30,1700,5,30
17000531,1700-05-31,1700,5,31
17000601,1700-06-01,1700,6,1
17000602,1700-06-02,1700,6,2
17000603,1700-06-03,1700,6,3
17000604,1700-06-04,1700,6,4
17000605,1700-06-05,1700,6,5
17000606,1700-06-06,1700,6,6
17000607,1700-06-07,1700,6,7
17000608,1700-06-08,1700,6,8
17000609,1700-06-09,1700,6,9
17000610,1700-06-10,1700,6,10
17000611,1700-06-11,1700,6,11
17000612,1700-06-12,1700,6,12
17000613,1700-06-13,1700,6,13
17000614,1700-06-14,1700,6,14
17000615,1700-06-15,1700,6,15
17000616,1700-06-16,1700,6,16
17000617,1700-06-17,1700,6,17
17000618,1700-06-18,1700,6,18
17000619,1700-06-19,1700,6,19
