profession_key,profession_name
1,music department
2,sound department
3,transportation department
4,editorial department
5,location management
6,publicist
7,composer
8,costume department
9,legal
10,actress
11,production designer
12,podcaster
13,casting department
14,casting director
15,assistant director
16,make up department
17,talent agent
18,writer
19,executive
20,miscellaneous
21,producer
22,visual effects
23,script department
24,music artist
25,stunts
26,actor
27,cinematographer
28,set decorator
29,production manager
30,soundtrack
31,assistant
32,director
33,editor
34,art director
35,manager
36,camera department
37,costume designer
38,art department
39,special effects
40,animation department
41,null
