professional_key,nconst,name,multiple_profession_key,birthyear,deathyear
60267081,nm0000001,Fred Astaire,361,1899,1987
60267082,nm0000002,Lauren Bacall,2,1924,2014
60267083,nm0000003,Brigitte Bardot,406,1934,
60267084,nm0000004,John Belushi,965,1949,1982
60267085,nm0000005,Ingmar Bergman,1195,1918,2007
60267086,nm0000006,Ingrid Bergman,1237,1915,1982
60267087,nm0000007,Humphrey Bogart,961,1899,1957
60267088,nm0000008,Marlon Brando,169,1924,2004
60267089,nm0000009,Richard Burton,961,1925,1984
60267090,nm0000010,James Cagney,169,1899,1986
60267091,nm0000011,Gary Cooper,212,1901,1961
60267092,nm0000012,Bette Davis,1194,1908,1989
60267093,nm0000013,Doris Day,1237,1922,2019
60267094,nm0000014,Olivia de Havilland,2,1916,2020
60267095,nm0000015,James Dean,1140,1931,1955
60267096,nm0000016,Georges Delerue,1082,1925,1992
60267097,nm0000017,Marlene Dietrich,406,1901,1992
60267098,nm0000018,Kirk Douglas,961,1916,2020
60267099,nm0000019,Federico Fellini,1195,1920,1993
60267100,nm0000020,Henry Fonda,961,1905,1982
60267101,nm0000021,Joan Fontaine,1237,1917,2013
60267102,nm0000022,Clark Gable,961,1901,1960
60267103,nm0000023,Judy Garland,2,1922,1969
60267104,nm0000024,John Gielgud,1195,1904,2000
60267105,nm0000025,Jerry Goldsmith,1082,1929,2004
60267106,nm0000026,Cary Grant,961,1904,1986
60267107,nm0000027,Alec Guinness,965,1914,2000
60267108,nm0000028,Rita Hayworth,1237,1918,1987
60267109,nm0000029,Margaux Hemingway,734,1954,1996
60267110,nm0000030,Audrey Hepburn,2,1929,1993
60267111,nm0000031,Katharine Hepburn,678,1907,2003
60267112,nm0000032,Charlton Heston,169,1923,2008
60267113,nm0000033,Alfred Hitchcock,51,1899,1980
60267114,nm0000034,William Holden,361,1918,1981
60267115,nm0000035,James Horner,1082,1953,2015
60267116,nm0000036,Buster Keaton,1195,1895,1966
60267117,nm0000037,Gene Kelly,361,1912,1996
60267118,nm0000038,Grace Kelly,1237,1929,1982
60267119,nm0000039,Deborah Kerr,2,1921,2007
60267120,nm0000040,Stanley Kubrick,51,1928,1999
60267121,nm0000041,Akira Kurosawa,105,1910,1998
60267122,nm0000042,Alan Ladd,363,1913,1964
60267123,nm0000043,Veronica Lake,1237,1922,1973
60267124,nm0000044,Burt Lancaster,961,1913,1994
60267125,nm0000045,Bruce Lee,1012,1940,1973
60267126,nm0000046,Vivien Leigh,678,1913,1967
60267127,nm0000047,Sophia Loren,2,1934,
60267128,nm0000048,Peter Lorre,965,1904,1964
60267129,nm0000049,Henry Mancini,1082,1924,1994
60267130,nm0000050,Groucho Marx,965,1890,1977
60267131,nm0000051,James Mason,1361,1909,1984
60267132,nm0000052,Marcello Mastroianni,961,1924,1996
60267133,nm0000053,Robert Mitchum,961,1917,1997
60267134,nm0000054,Marilyn Monroe,678,1926,1962
60267135,nm0000055,Alfred Newman,1082,1900,1970
60267136,nm0000056,Paul Newman,514,1925,2008
60267137,nm0000057,David Niven,961,1910,1983
60267138,nm0000058,Maureen O'Hara,2,1920,2015
60267139,nm0000059,Laurence Olivier,514,1907,1989
60267140,nm0000060,Gregory Peck,961,1916,2003
60267141,nm0000061,Tyrone Power,961,1914,1958
60267142,nm0000062,Elvis Presley,495,1935,1977
60267143,nm0000063,Anthony Quinn,961,1915,2001
60267144,nm0000064,Edward G. Robinson,965,1893,1973
60267145,nm0000065,Nino Rota,1082,1911,1979
60267146,nm0000066,Jane Russell,1237,1921,2011
60267147,nm0000067,Miklós Rózsa,1082,1907,1995
60267148,nm0000068,Randolph Scott,961,1898,1987
60267149,nm0000069,Frank Sinatra,495,1915,1998
60267150,nm0000070,Max Steiner,1082,1888,1971
60267151,nm0000071,James Stewart,169,1908,1997
60267152,nm0000072,Elizabeth Taylor,1237,1932,2011
60267153,nm0000073,Shirley Temple,678,1928,2014
60267154,nm0000074,Gene Tierney,2,1920,1991
60267155,nm0000075,Spencer Tracy,1137,1900,1967
60267156,nm0000076,François Truffaut,51,1932,1984
60267157,nm0000077,Franz Waxman,1082,1906,1967
60267158,nm0000078,John Wayne,961,1907,1979
60267159,nm0000079,Raquel Welch,1237,1940,2023
60267160,nm0000080,Orson Welles,1195,1915,1985
60267161,nm0000081,Natalie Wood,406,1938,1981
60267162,nm0000082,Victor Young,1082,1899,1956
60267163,nm0000083,Alan Miller,1142,,
60267164,nm0000084,Gong Li,462,1965,
60267165,nm0000085,Henner Hofmann,898,1950,
60267166,nm0000086,Louis de Funès,1195,1914,1983
60267167,nm0000087,Elena Koreneva,1107,1953,
60267168,nm0000088,Aleksey Korenev,105,1927,1995
60267169,nm0000089,Richard Paul,1137,1940,1998
60267170,nm0000090,Armin Mueller-Stahl,1195,1930,
60267171,nm0000091,Gérard Pirès,1195,1942,
60267172,nm0000092,John Cleese,1361,1939,
60267173,nm0000093,Brad Pitt,961,1963,
60267174,nm0000094,J. Reifel,582,,
60267175,nm0000095,Woody Allen,1195,1935,
60267176,nm0000096,Gillian Anderson,1237,1968,
60267177,nm0000097,Pamela Anderson,249,1967,
60267178,nm0000098,Jennifer Aniston,1237,1969,
60267179,nm0000099,Patricia Arquette,249,1968,
60267180,nm0000100,Rowan Atkinson,965,1955,
60267181,nm0000101,Dan Aykroyd,1361,1952,
60267182,nm0000102,Kevin Bacon,961,1958,
60267183,nm0000103,Fairuza Balk,2,1974,
60267184,nm0000104,Antonio Banderas,961,1960,
60267185,nm0000105,Adrienne Barbeau,1237,1945,
