movie_key,title,movieid,tconst,multiple_concatenate_genre_key,multiple_concatenate_professional_key,releasedate,averagerating,num_votes
39950,Opening of the Kiel Canal,,tt0000024,87971,2499,1895,4,126
39289,The Oxford and Cambridge University Boat Race,,tt0000025,87857,2499,1896,4,43
39636,Rough Sea at Dover,,tt0000030,87814,2499,1895,5,879
39766,Riña en un café,,tt0000165,87945,3311,1897,5,138
39502,King John,,tt0000247,87952,2425,1899,5,512
39492,Uncle Tom's Cabin,,tt0000472,87952,3253,1903,6,25
39985,The Lady with the Camellias,,tt0000583,87774,2850,1907,5,52
39319,The Fairylogue and Radio-Plays,,tt0000679,86571,2278,1908,5,70
40017,A Midsummer Night's Dream,,tt0000966,86640,2362,1909,6,360
39874,The Mill,,tt0000971,87774,2213,1909,6,183
40115,Gøngehøvdingen,,tt0001049,86519,2436,1909,4,18
39283,Cleopatra,,tt0001117,87942,2133,1910,5,15
39570,Regina von Emmeritz och konung Gustaf II Adolf,,tt0001380,87952,2636,1910,4,11
40007,Captain Kate,,tt0001529,87952,3326,1911,4,22
40196,Dæmonen,,tt0001590,87945,3183,1911,6,8
39264,Henry VIII,,tt0001658,88006,2425,1911,6,16
39524,The Infant at Snakeville,,tt0001706,87738,2290,1911,4,18
39384,Richard III,,tt0001857,87747,3280,1911,6,224
39415,Den sorte drøm,,tt0001892,86664,2401,1911,6,262
39652,Anfisa,,tt0002022,86664,3078,1912,6,13
39818,Anny - Story of a Prostitute,,tt0002026,87574,2360,1912,5,16
40036,The Conquest of the Pole,,tt0002113,87730,3204,1912,7,1169
39362,From the Manger to the Cross,,tt0002199,87766,2912,1912,6,631
39162,Lucha de corazones,,tt0002325,87952,3271,1912,5,8
40106,Today and Tomorrow,,tt0002329,87945,2970,1912,5,36
40093,What Happened to Mary,,tt0002574,86683,2331,1912,6,33
39915,Zu spät,,tt0002591,87738,2605,1913,6,10
40016,Der Andere,,tt0002628,87289,2585,1913,6,112
39720,The Heir to Skjoldborg,,tt0002642,86664,2615,1914,6,9
39420,Hamlet,,tt0002922,86664,2718,1913,5,81
39614,Ivanhoe,,tt0003022,87494,3022,1913,6,92
40124,"Home, Sweet Home",,tt0003167,86664,2869,1914,6,279
39318,The Life of Richard Wagner,,tt0003330,87747,2522,1913,6,123
39925,Robin Hood,,tt0003337,86779,2834,1913,6,56
39278,Who Will Marry Mary?,,tt0003545,86710,2331,1913,5,29
39301,A 300 éves ember,,tt0003590,87738,2862,1914,7,13
39538,Brewster's Millions,,tt0003698,86648,2530,1914,7,53
39924,Cursed by His Beauty,,tt0003812,87812,2683,1914,8,13
39314,Fatty's Magic Pants,,tt0003949,87812,2683,1914,5,202
39424,Loyalty,,tt0003960,87738,3070,1914,6,31
39658,The Hazards of Helen,,tt0004052,86308,2901,1914,7,120
40023,The Last Egyptian,,tt0004207,87494,2278,1914,5,25
40147,The Life of General Villa,,tt0004223,87817,2869,1914,6,71
40043,The Man Who Could Not Lose,,tt0004291,86664,2822,1914,7,16
39662,The Man from Mexico,,tt0004295,86648,3186,1914,8,41
39836,Manon Lescaut,,tt0004303,87574,2690,1914,5,18
39768,McVeagh of the South Seas,,tt0004319,86664,3019,1914,5,47
39780,Michael Strogoff,,tt0004328,86664,2904,1914,5,43
39701,The Nightingale,,tt0004403,86415,2476,1914,7,25
39221,The Patchwork Girl of Oz,,tt0004457,87737,2746,1914,6,559
39846,Trilby,,tt0004728,86664,2425,1914,4,32
39787,Uncle Tom's Cabin,,tt0004743,86664,3092,1914,6,188
40121,After Five,,tt0004866,87496,2530,1915,4,24
39287,Anna Karenina,,tt0004897,87574,2589,1915,4,25
39500,Charley's Aunt,,tt0005076,86648,2198,1925,7,73
39762,The Eternal City,,tt0005250,86664,2937,1915,6,20
